               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11208,            0.032187,            0.058369,           0.0013718,            0.048834,          0.00090754,          0.00025756,             0.10878,            0.025394,            0.058106,              0.0901,              0.0011,              0.0011
                   1,             0.10283,            0.031941,            0.054276,           0.0032934,             0.36735,            0.020275,            0.005098,            0.095229,             0.02555,            0.052918,            0.079277,           0.0022772,           0.0022772
                   2,            0.088076,            0.034534,            0.048518,           0.0048125,             0.64623,             0.21591,            0.058606,            0.077955,            0.027094,            0.045357,            0.068431,           0.0034307,           0.0034307
                   3,             0.07331,            0.036503,            0.040392,             0.72085,             0.28304,             0.30703,            0.092173,            0.068862,            0.026539,            0.036206,             0.05756,           0.0045604,           0.0045604
                   4,            0.069006,             0.03601,            0.031818,             0.66855,            0.098776,             0.11261,            0.035133,            0.070318,            0.023553,            0.028911,            0.046666,           0.0056664,           0.0056664
                   5,            0.069416,            0.031843,              0.0268,             0.68372,             0.19388,             0.14834,            0.048326,             0.06604,            0.021594,            0.024194,            0.035749,           0.0067485,           0.0067485
                   6,            0.067208,             0.03063,            0.021201,             0.73814,              0.2693,             0.34183,             0.13484,             0.05952,            0.018912,            0.020159,            0.024807,            0.007807,            0.007807
                   7,            0.067712,            0.025899,            0.018335,             0.69583,             0.52395,             0.39887,             0.15661,            0.069287,            0.016181,            0.018313,            0.013842,           0.0088416,           0.0088416
                   8,            0.072224,            0.022043,            0.016574,             0.65933,             0.52077,              0.3753,             0.11576,             0.06272,            0.015652,            0.015911,            0.009208,            0.009208,            0.009208
                   9,            0.066608,             0.02271,            0.016191,             0.69877,             0.52392,             0.42299,              0.1389,            0.056986,            0.015338,            0.014165,            0.009208,            0.009208,            0.009208
                  10,            0.061993,            0.023711,            0.014425,             0.76838,             0.28052,             0.26263,            0.091414,            0.060394,              0.0145,            0.012534,            0.009109,            0.009109,            0.009109
                  11,            0.060388,            0.020828,            0.013395,             0.63929,             0.54274,             0.50864,             0.19257,            0.055239,            0.014037,            0.011552,             0.00901,             0.00901,             0.00901
                  12,            0.058454,            0.022245,            0.011386,             0.72905,             0.54614,             0.50904,             0.24298,            0.056348,              0.0138,              0.0106,            0.008911,            0.008911,            0.008911
                  13,            0.054074,            0.021091,            0.012315,             0.70543,             0.57044,             0.54296,             0.19623,            0.050663,            0.013551,            0.009743,            0.008812,            0.008812,            0.008812
                  14,             0.05303,            0.020248,            0.010299,             0.79401,             0.57518,             0.58229,             0.27126,            0.048255,            0.013568,           0.0091553,            0.008713,            0.008713,            0.008713
                  15,            0.051752,             0.01881,            0.010484,             0.72404,             0.56863,             0.55265,              0.2506,             0.04588,            0.012681,           0.0095371,            0.008614,            0.008614,            0.008614
                  16,            0.051245,            0.019482,            0.010106,             0.67877,             0.54919,             0.52271,             0.23861,            0.044993,            0.012442,           0.0083772,            0.008515,            0.008515,            0.008515
                  17,            0.051964,            0.017288,           0.0091362,             0.87153,             0.56939,             0.68173,             0.34495,            0.042693,            0.012115,            0.007527,            0.008416,            0.008416,            0.008416
                  18,            0.048418,            0.019999,           0.0087543,             0.75673,             0.58569,             0.57787,              0.2544,            0.049856,            0.011625,            0.006973,            0.008317,            0.008317,            0.008317
                  19,            0.050946,            0.020933,           0.0088123,             0.87817,             0.58926,             0.68806,             0.34353,            0.039037,            0.011638,           0.0071169,            0.008218,            0.008218,            0.008218
                  20,            0.047659,            0.018647,           0.0074587,             0.86258,             0.60627,             0.69327,             0.33049,            0.041416,            0.011194,           0.0068752,            0.008119,            0.008119,            0.008119
                  21,            0.045806,            0.017712,           0.0076147,             0.82518,             0.62719,             0.69561,             0.35175,            0.043005,            0.010714,           0.0069609,             0.00802,             0.00802,             0.00802
                  22,            0.046955,            0.017764,           0.0074465,             0.85506,             0.60804,             0.68812,             0.35225,             0.04129,             0.01136,           0.0069788,            0.007921,            0.007921,            0.007921
                  23,            0.044874,            0.018028,            0.007841,             0.85898,             0.59801,             0.68596,             0.38713,            0.038863,             0.01024,           0.0067981,            0.007822,            0.007822,            0.007822
